idx,headline,date,snippet,source,headline_sentiment,snippet_sentiment
0,Lithium sector powered up by electric cars,27/07/2016,"The lithium market has received a boost after FMC planned to double its output of battery raw material lithium next year, in a sign the largest producers are increasing supply to meet demand from electric carmakers.",ft,0.0|1.0|0.0|0.0,0.041|0.884|0.075|0.296
1,Trio of lithium IPOs will fuel debate on electric vehicles,30/08/2018,Lithium’s usage in electric car batteries has made it one of the hottest commodities of the past few years.,ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
2,"Lithium price poised for recovery, says Tianqi boss",14/05/2019,"China’s lithium market is stabilising after a period of plummeting prices, says Vivian Wu, president of Tianqi Lithium, China’s largest producer of the raw material used in car batteries.",ft,0.0|0.778|0.222|0.25,0.0|1.0|0.0|0.0
3,Chile’s buried treasure,09/07/2016,The vast salt flats of the Atacama desert hold huge reserves of lithium. So why is Chile falling behind as the market booms? By Henry Sanderson,ft,0.0|0.476|0.524|0.296,0.057|0.86|0.082|0.1779
4,Lithium bottlenecks threaten to fuel supercycle,09/06/2017,"A year ago, Tesla founder and chief executive Elon Musk quipped that lithium was only the “salt on the salad” for the batteries that are vital to the US company’s electric cars.",ft,0.342|0.658|0.0|-0.3818,0.0|0.932|0.068|0.296
5,FMC eyes next-generation batteries in lithium producer Livent’s New York IPO,29/08/2018,The New York listing of FMC Corp’s lithium business is poised to test appetite for the metal following the sell-off of this vital commodity in the manufacture of electric cars.,ft,0.0|1.0|0.0|0.0,0.0|0.862|0.138|0.5423
6,Tianqi Lithium buys into Chile’s SQM,18/05/2018,"Tianqi Lithium has paid $4.07bn for a 24 per cent stake in Chilean rival Sociedad Química y Minera, further boosting China’s influence over the global supply chain for electric car batteries.",ft,0.0|1.0|0.0|0.0,0.0|0.921|0.079|0.34
7,BlackRock bets big on lithium’s electric-car future,16/09/2017,"BlackRock has emerged as a big backer of lithium start-ups, as the world’s largest asset manager bets on the widespread adoption of electric vehicles.",ft,0.0|1.0|0.0|0.0,0.0|0.898|0.102|0.3612
8,Clean energy set to drive need for reactive metal,16/12/2015,"Lithium is mostly used in glass, ceramics and lubricants — about 30 per cent of lithium supplies are currently used in batteries. Lithium salts are also used to treat depression and mood disorders.",ft,0.0|0.593|0.407|0.5859,0.102|0.824|0.074|-0.25
9,Buffett bets on lithium with extraction deal,21/01/2019,"Warren Buffett’s Berkshire Hathaway has made a move into lithium, signing an agreement to allow extraction of the battery mineral from its geothermal wells in California.",ft,0.0|1.0|0.0|0.0,0.0|0.756|0.244|0.7269
10,Charged atmosphere Ganfeng Lithium IPO tests investor appetite as oversupply dilutes electric car battery demand,01/10/2018,The initial public offering in Hong Kong this week of one of China’s biggest lithium producers will provide a test both of investor appetite for a metal that has been hailed as vital to the future of electric cars and a stock market hurt by global trade tensions.,ft,0.202|0.798|0.0|-0.3182,0.119|0.801|0.08|-0.4588
11,Lithium faces $5bn test as supplier stake sale electrifies buyer interest,17/02/2018,"When Canadian fertiliser company PotashCorp acquired shares in Chile’s SQM almost 20 years ago, the latter’s lithium business appeared an afterthought.",ft,0.0|0.769|0.231|0.4588,0.0|0.901|0.099|0.296
12,Ganfeng Lithium expands into batteries as electric car stakes rise,07/07/2017,"Ganfeng Lithium, one of China’s fastest growing companies, is expanding into battery production as it seeks to prepare for the expected rapid growth in the country’s electric car market.",ft,0.0|0.865|0.135|0.1027,0.0|0.863|0.137|0.5106
13,Stalled market Lithium knocked by oversupply and cut in electric-vehicle subsidy,27/08/2019,"The rise of the electric car was once a boon for the lithium industry, which produces the critical raw material for all batteries used in the vehicles.",ft,0.302|0.698|0.0|-0.4404,0.084|0.916|0.0|-0.3182
14,Rio Tinto hails ‘eureka moment’ after large lithium discovery in California,23/10/2019,"Rio Tinto said it had found a potentially large source of lithium for electric car batteries while looking for gold in piles of waste rock in California, describing it as a “eureka moment” for the group.",ft,0.0|1.0|0.0|0.0,0.078|0.922|0.0|-0.4215
15,Rosatom lines up deal for Chile lithium stake,16/10/2019,Russia’s state-run nuclear group Rosatom has signed a preliminary agreement to buy up to 51 per cent of a Chilean lithium project in return for supplies of the mineral.,ft,0.0|1.0|0.0|0.0,0.0|0.89|0.11|0.4939
16,Betting on batteries,30/11/2018,"Better known for exporting highly polluting coal and iron ore, Australia is now at the forefront of a green energy revolution. But with lithium prices falling, does it risk missing out on the electric vehicle boom?",ft,0.0|1.0|0.0|0.0,0.18|0.734|0.086|-0.5927
17,Peru upbeat over lithium discovery but miners face challenge of excess supply,10/11/2018,"It has long been known that Latin America’s “lithium triangle” of northern Chile, northern Argentina and southern Bolivia contains some of the biggest deposits of the key electric vehicle battery ingredient on the planet, in the salt flats of the Andes and the Atacama Desert.",ft,0.0|0.884|0.116|0.1154,0.0|1.0|0.0|0.0
18,Shares of lithium producers Albemarle and SQM rattled by gloomy forecast,27/02/2018,A warning from investment bank Morgan Stanley that new supply of lithium will swamp demand for a metal that has been prized for its role in electric car batteries sent shares in its two largest producers tumbling yesterday.,ft,0.125|0.703|0.172|0.1531,0.094|0.771|0.135|0.4019
19,LME looks at contract rollout for lithium,30/08/2017,"The London Metal Exchange is considering introducing a contract for lithium, which is in heavy demand because of its use in electric cars, as the 140-year-old group tries to reverse a fall in volumes.",ft,0.0|1.0|0.0|0.0,0.046|0.954|0.0|-0.128
20,Tesla in stand-off over lithium supply for factory,16/12/2015,"The mile-long, so-called Gigafactory is expected to boost demand for lithium, the raw material used in the batteries that power most electric cars.",ft,0.0|1.0|0.0|0.0,0.06|0.833|0.107|0.296
21,Powering the battery supply chain,23/05/2019,"In the space of a few years China has become the biggest producer of lithium, a key raw material for batteries in electric cars. The US and Europe fear they could be pushed out of a fast-growing industry.By Henry Sanderson",ft,0.0|1.0|0.0|0.0,0.082|0.918|0.0|-0.4939
22,CHILE’S BURIED TREASURE,09/07/2016,"Yet these conditions also make it one of the best places in the world to extract lithium, a soft, volatile metal that is found in the Earth’s crust.",ft,0.0|0.476|0.524|0.296,0.0|0.861|0.139|0.6369
23,Mitsui boosts Brazil’s lithium ambitions with deal to back Sigma mining project,06/04/2019,Brazil is set to emerge as a significant supplier of high-quality lithium — a raw material used in electric-car batteries — after one of the world’s biggest commodity traders agreed to back a new project in the country.,ft,0.0|0.827|0.173|0.3182,0.0|0.888|0.112|0.4404
24,Tesla locked in talks with Chile’s SQM over lithium investment,30/01/2018,"Tesla is in talks with Chile’s largest lithium producer SQM about investing in supplies of the battery material, as it ramps up production of its first mass-market electric car.",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
25,Tracking Tesla Lithium groups follow electric-car maker’s stops and starts,10/04/2018,Lithium miners and the electric-battery makers that use the metal were already having a tricky year because of concern over excess supply.,ft,0.151|0.849|0.0|-0.1531,0.074|0.926|0.0|-0.1531
26,Groups vie for Chile lithium project tender,17/04/2017,"Chile is set to capitalise on the global demand for electric vehicles with companies from South Korea, China, Japan and Europe bidding on manufacturing projects tied to the country’s vast reserves of lithium, a key component in batteries powering cars as well as cell phones and smart watches.",ft,0.0|1.0|0.0|0.0,0.03|0.875|0.095|0.5106
27,Sinochem chases $4bn lithium stake,23/10/2017,"Sinochem, China’s state chemical group, is among bidders for a $4bn stake in Chile’s SQM, one of the world’s largest producers of lithium, a key component in electric car batteries.",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
28,Bolivia ships its first lithium to China,18/08/2016,Bolivia has made progress in its aim to become the biggest exporter of lithium with its first shipment to China.,ft,0.0|1.0|0.0|0.0,0.0|0.872|0.128|0.4215
29,Czech lithium mine to help fuel Europe’s car battery demand,20/10/2017,"This month, the Czech government signed a memorandum of understanding with European Metals, the Australian mining group, to develop the large lithium resource that lies scattered under the fields around Cinovec.",ft,0.123|0.656|0.221|0.296,0.088|0.912|0.0|-0.4215
30,Supply challenge energises lithium trade,06/01/2017,"As the first battery cells roll off the production line at Tesla’s 1.9m square feet “gigafactory” in Nevada, a scramble is under way to secure supply of lithium , an essential ingredient.",ft,0.0|0.4|0.6|0.5423,0.0|0.924|0.076|0.34
31,Batteries power Tianqi’s quest for lithium producer,29/09/2016,"China’s Tianqi Lithium is attempting to take control of the world’s biggest producer of the metal, as its use in batteries to power smartphones and electric cars fuels rapid growth in global demand.",ft,0.0|1.0|0.0|0.0,0.043|0.883|0.074|0.2732
32,China’s BYD in talks over Chile lithium supply,07/04/2017,"BYD, the Chinese electric car and bus company part-owned by Warren Buffett, is talking to lithium producers in Chile about securing supplies.",ft,0.0|1.0|0.0|0.0,0.0|0.901|0.099|0.3182
33,Electric car trade likely to lose power,12/12/2017,Subsidy doubts and battery advances weigh on lithium and cobalt miners after surge,ft,0.31|0.69|0.0|-0.4019,0.155|0.845|0.0|-0.296
34,SPEED READ,30/11/2018,"Opening up Six lithium mines have opened in Western Australia since 2016, with A$3bn invested in refineries",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
35,Carmakers race to secure battery raw materials,26/02/2018,Electric vehicle manufacturers need reliable supplies of lithium and cobalt but prices are up amid an uncertain future,ft,0.0|0.714|0.286|0.34,0.141|0.859|0.0|-0.4215
36,Tail Risk,11/09/2019,"Battery metal bulls suddenly have more to cheer about. Volkswagen has launched the ID.3, a mass-market hatchback that symbolises the potential demand for the lithium that powers its battery, and China’s Contemporary Amperex Technology (CATL) has bought an 8.5 per cent stake in Australian lithium miner Pilbara Minerals.",ft,0.677|0.323|0.0|-0.2732,0.03|0.87|0.1|0.5542
37,Lithium’s $5bn test Supplier stake sale electrifies buyer interest,17/02/2018,Elon Musk’s Tesla Motors has signed a three-year lithium supply deal with Australian miner Kidman Resources.,ft,0.0|0.727|0.273|0.4588,0.0|1.0|0.0|0.0
38,Australia joins the rush to exploit lithium,30/11/2018,"China’s biggest producer of lithium, the battery raw material, has chosen Morgan Stanley and CLSA for a listing in Hong Kong to fund its $4.07bn purchase of a stake in Chile’s SQM, according to a prospectus.",ft,0.189|0.811|0.0|-0.1027,0.0|1.0|0.0|0.0
