0,headline,date,snippet,source
1,Batteries and Renewable Energy Set to Grow Together,2015-04-20T18:43:34+0000,As sun and wind become bigger parts of the electricity mix scientists are pushing to increase the capacity of battery storage.,The New York Times
2,Video Review: The VW Jetta Hybrid Offers Fuel-Efficient Fun,2015-04-22T16:22:40+0000,When it comes to hybrids Toyota owns the market with the Prius but the Volkswagen is an alternative for those looking for more performance.,The New York Times
3,Liquid Batteries for Solar and Wind Power ,2015-04-22T20:52:49+0000,So-called flow batteries can provide energy steadily over time and last much longer than other types of storage.,The New York Times
4,F.A.A. Orders Fix for Possible Power Loss in Boeing 787,2015-04-30T20:24:20+0000,The Federal Aviation Administration said operators of the Dreamliner jet were to shut down power periodically after a software problem was found.,The New York Times
5,Tesla Ventures Into Solar Power Storage for Home and Business,2015-05-01T04:24:14+0000,Tesla Motors says it is making a foray into the challenge of how to use the sun’s energy when it isn’t shining with a fleet of battery systems for homeowners businesses and utilities.,The New York Times
6,With Tesla Entering Market Hopes for Home Batteries Grow,2015-05-13T12:27:14+0000,For now home batteries remain a novelty. The market is poised for growth though after Tesla Motors said it would offer batteries at a lower price.,The New York Times
7,Afghan Minerals Another Failure,2015-05-27T01:29:00+0000,In the war-ravaged country development is lagging and American aid is being squandered.,The New York Times
8,Vincent Bolloré’s Long Bet on Solid-State Batteries for Electric Cars,2015-06-12T11:31:54+0000,A popular but unprofitable electric-car-sharing business in Paris is expanding in Europe and America but it’s really a bet on besting lithium-ion batteries.,The New York Times
9,Traces of Earliest Stars That Enriched Cosmos Are Spied,2015-06-17T10:00:19+0000,Astronomers said a recently discovered galaxy known as CR7 holds the signature of a lost generation of stars that created the elements needed for life.,The New York Times
10,‘I Don’t Believe in God but I Believe in Lithium’,2015-06-25T11:00:08+0000,My 20-year struggle with bipolar disorder.,The New York Times
11,Video Review: BMW i8 Is a Futuristic Hybrid That Drives Like a Rocket,2015-07-07T15:21:11+0000,This plug-in has an all-electric range of 22 miles but it also has a turbocharged 1.5-liter gasoline engine which helps propel the car to 60 m.p.h. in 4 seconds.,The New York Times
12,Video Review: Honda Takes Different Path With the Accord Hybrid,2015-07-29T18:16:32+0000,The Accord has the appearance of gas-only models but inside is a lithium-ion battery and a gas-electric system that is unlike other hybrids.,The New York Times
13, Theory on Lithium in Stars May Be Confirmed,2015-08-03T17:11:40+0000,Lithium has been found in material ejected by a nova or a stellar explosion for the first time. That may confirm the theory that lithium in young stars came from novae.,The New York Times
14,Hybrid-Powered Megayachts Come With Green Bragging Rights,2015-08-22T18:47:29+0000,The wealthy want to show and sometimes show off their commitment to the environment even as they build ever bigger mansions jets and yachts.,The New York Times
15,Porsche Aiming at Tesla Unveils Electric Concept Car,2015-09-15T01:28:42+0000,The planned luxury performance sedan has 600 horsepower and can reach 60 miles an hour in under 3.5 seconds Porsche says. Top speed is 155 miles an hour.,The New York Times
16,Energy Storage Industry Gaining Momentum,2015-10-26T01:52:12+0000,Despite decades of public and private research and investment the storage industry has struggled to take off though there are signs that this may be changing.,The New York Times
17,Robert Neugeboren Survivor of Psychiatric Abuses Dies at 72,2015-10-31T20:39:37+0000,Mr. Neugeboren was hauled away in a straitjacket in his late teens and spent most of his adult life in institutions.,The New York Times
18,F.B.I. to Help Russia Investigate Plane Crash in Egypt,2015-11-07T16:46:07+0000,Some American officials said that the Russians want help analyzing forensic evidence from the charter plane that broke apart over the Sinai Peninsula killing 224 people.,The New York Times
