idx,headline,date,snippet,source,headline_sentiment,snippet_sentiment
0,Shares of lithium producers Albemarle and SQM rattled by gloomy forecast,27/02/2018,"Shares in US-listed Albemarle fell as much as 10 per cent, while those of rival SQM dropped 8 per cent after analysts at Morgan Stanley cautioned that the lithium price could plunge 45 per cent over the next four years.",ft,0.125|0.703|0.172|0.1531,0.0|0.945|0.055|0.296
1,Speed read,23/05/2019,Lithium overload Chinese companies disrupted a market controlled by Chile’s SQM and Albemarle and FMC of the US,ft,0.0|1.0|0.0|0.0,0.135|0.865|0.0|-0.3612
2,Groups vie for Chile lithium project tender,17/04/2017,"The winning companies will be guaranteed 25 per cent of US producer Albemarle’s lithium production at the lowest cost available in the market, according to Eduardo Bitran, head of the country’s development agency Corfo, which allocates permits for production of lithium.",ft,0.0|1.0|0.0|0.0,0.058|0.867|0.076|0.2023
3,Supply challenge energises lithium trade,06/01/2017,"The average price of lithium has jumped threefold since 2014 and gained 60 per cent last year, according to an index from London-based Benchmark Mineral Intelligence. Its rise has boosted the share prices of Albemarle and other large producers and smaller players such as Galaxy Resources.",ft,0.0|0.4|0.6|0.5423,0.0|0.802|0.198|0.8555
4,Sweet success,06/05/2017,"Elected to the Royal Society in 1685, two years later Sloane became a fellow of the Royal College of Physicians and voyaged to the Caribbean as physician to the Duke of Albemarle, the incoming governor of Jamaica.",ft,0.0|0.0|1.0|0.7717,0.0|1.0|0.0|0.0
5,Tesla in stand-off over lithium supply for factory,16/12/2015,"Elon Musk, Tesla’s founder, has said the company will seek to use lithium from Nevada. The US’s only operation producing the metal — Albemarle’s Silver Peak mine — is based there.",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
6,Meet Celia Pym — knitwear’s own ‘damage detective’,24/02/2018,The submitted piece? An Albemarle “Norwegian Sweater” (pictured left) that she picked up from Annemor Sundbo’s Ragpile collection in Norway.,ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
7,Tracking Tesla Lithium groups follow electric-car maker’s stops and starts,10/04/2018,"That was enough, say industry analysts, to cast a shadow over companies including Albemarle, the largest producer of the electric-car battery raw material, and Nemaska Lithium, which is developing a mining project in Canada.",ft,0.151|0.849|0.0|-0.1531,0.0|1.0|0.0|0.0
8,FMC eyes next-generation batteries in lithium producer Livent’s New York IPO,29/08/2018,"Shares in the world’s largest producer, Albemarle, have dropped 24 per cent year to date while Chile’s SQM is off by 27 per cent.",ft,0.0|1.0|0.0|0.0,0.0|0.913|0.087|0.296
9,Volta joins battle for battery breakthrough,11/01/2018,"Backed by Albemarle, one of the world’s largest lithium producers, and US utility Exelon, the fund’s ambition is to invest in those companies whose battery technologies will triumph in the global battle to dominate electric cars and energy storage.",ft,0.342|0.658|0.0|-0.3818,0.092|0.766|0.142|0.296
10,Buffett bets on lithium with extraction deal,21/01/2019,"producers in Chile and Australia. The only current US supply comes from the Silver Peak mine in Nevada, run by Albemarle.",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
11,Powering the battery supply chain,23/05/2019,"After that the market was dominated by a cosy oligopoly known as the Big Three: SQM of Chile, which was controlled by the son-in-law of the country’s former dictator Augusto Pinochet, and US producers Albemarle and FMC. In 2015, Albemarle acquired rival US producer Rockwood and last year FMC...",ft,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
12,Miners plug into electric car story to win green investors,30/06/2017,"That has thrust miners such as Rio and Glencore, and lithium miners such as Albemarle on to investors’ radars. But Glencore is also a big miner of thermal coal, which most sustainable investors eschew. Rio is divesting from coal but still mines uranium, which is used in nuclear power.",ft,0.0|0.703|0.297|0.5859,0.0|1.0|0.0|0.0
13,Rio Tinto hails ‘eureka moment’ after large lithium discovery in California,23/10/2019,"The only lithium produced in the US is extracted from brine in Silver Peak, Nevada, in a facility owned by producer Albemarle. But the company does not disclose how much is produced and analysts said it was not substantial.",ft,0.0|1.0|0.0|0.0,0.049|0.951|0.0|-0.2235
14,Trio of lithium IPOs will fuel debate on electric vehicles,30/08/2018,"The largest producers in Chile — Albemarle and SQM — have pledged to expand supply while a host of new mines are being developed, spanning Canada to Australia.",ft,0.0|1.0|0.0|0.0,0.0|0.913|0.087|0.3182
