date,title,sentiment__polarity,sentiment__neg,sentiment__neu,sentiment__pos
2022-07-07T06:00:00+00:00,Rock Tech wins thyssenkrupp Materials Trading as potential supplier of raw materials and customer for its lithium hydroxide,0.995,0.03,0.899,0.071
2022-06-29T13:11:53+00:00,LG Energy signs battery-grade lithium supply deal with Compass Minerals,0.727,0.018,0.928,0.054
2022-06-28T23:50:52+00:00,Australia's Liontown signs 5-year lithium supply deal with Ford Motor,0.848,0.02,0.911,0.07
2022-06-28T23:42:34+00:00,Australia's Liontown signs 5-year lithium supply deal with Ford Motor,0.848,0.019,0.912,0.069
2022-06-27T18:58:28+00:00,UPDATE 1-Albemarle plans major U.S. lithium processing plant,0.908,0.003,0.957,0.04
2022-06-27T17:11:46+00:00,Albemarle plans major U.S. lithium processing plant,0.908,0.003,0.957,0.04
2022-06-27T16:49:47+00:00,Albemarle plans major U.S. lithium processing plant,0.625,0.024,0.93,0.046
2022-06-27T11:00:00+00:00,American Lithium validates Sulfate of Potash as a strategic by-product of future lithium production at Falchani,0.996,0.058,0.853,0.089
2022-06-27T06:00:00+00:00,Rock Tech Lithium and Transamine to cooperate on lithium supply,0.998,0.043,0.855,0.102
2022-06-23T11:55:00+00:00,Imperial and E3 Lithium form strategic agreement on lithium pilot project in Alberta,0.995,0.027,0.888,0.084
2022-06-22T14:00:00+00:00,Pegasus Resources Closes Agreements Pertaining to its Confederation Lake Properties,0.995,0.008,0.862,0.13
2022-06-15T12:30:00+00:00,Clear Sky Lithium CEO Message,0.999,0.017,0.877,0.106
2022-06-15T11:00:00+00:00,Will Warren Buffett Beat Elon Musk in Developing a Novel Lithium Mining Technique?,-0.21,0.113,0.807,0.081
2022-06-14T16:30:00+00:00,"Electric Powertrain Market is projected to reach USD 760 Billion by 2030, growing at a CAGR of 32%: Straits Research",0.999,0.011,0.908,0.081
2022-06-08T13:46:00+00:00,NEO Battery Materials Signs a Strategic MOU with Automobile &amp; PCB Inc. Listed on South Korean Exchange,0.986,0.029,0.89,0.081
2022-06-05T23:17:00+00:00,Continued strong product pricing and operational update,0.87,0.04,0.903,0.057
2022-06-01T14:04:36+00:00,Goldman Sachs has bad news for metals investors and good news for EV makers,-0.296,0.071,0.929,0
2022-05-30T06:33:00+00:00,Lithium Market to Worth $6.62 Billion by 2028 | Fortune Business Insights™,0.998,0.022,0.868,0.11
2022-05-28T09:30:00+00:00,"In the DRC, a Chinese-Australian battle for control of a massive untapped lithium lode",0.926,0.07,0.852,0.078
2022-05-27T17:00:00+00:00,Market Movers. Today’s Top Stock Picks For New &amp; Trending Opportunities,1,0.019,0.88,0.102
2022-05-27T11:30:00+00:00,Lilium and Livent Announce Collaboration to Advance Research and Development for High-Performance Lithium Batteries,0.994,0.018,0.901,0.081
2022-05-23T12:45:00+00:00,Franklin Mining to Present at the Emerging Growth Conference,0.992,0.035,0.841,0.124
2022-05-22T13:36:41+00:00,"Chile aims to outline state lithium firm model this year, minister says",0.969,0.012,0.903,0.085
2022-05-20T18:25:00+00:00,"Lomiko Metals Commences 18,000 metre, 120 Drill Hole Campaign for the Electric Vehicle and Green Battery Zones at La Loutre Graphite Project",0.997,0.024,0.889,0.087
2022-05-07T14:28:41+00:00,BHP Vows to Stay Out of Lithium Rush With Shortages Set to Fade,0.494,0.087,0.819,0.094
2022-05-05T01:14:37+00:00,Rio Tinto keen for talks to revive Serbian lithium project,0.975,0.051,0.846,0.102
2022-05-04T20:37:45+00:00,UPDATE 1-Albemarle lifts annual outlook on robust lithium demand,0.971,0.013,0.866,0.121
2022-05-04T20:29:45+00:00,Albemarle raises annual outlook on surging lithium prices,0.979,0.01,0.875,0.114
2022-05-04T20:17:53+00:00,Stock Of The Day: Piedmont Lithium Stock Eyes Early Entry As Livent Soars,0.402,0,0.903,0.097
2022-05-03T20:10:24+00:00,Livent swings to profit on higher lithium demand,0.625,0.088,0.765,0.147
2022-05-02T12:45:00+00:00,Franklin Mining Inc. to Begin Raising Funds for Lithium Projects,0.957,0.037,0.876,0.087
2022-04-29T14:33:00+00:00,Lomiko Announces Positive Results on its Initial Metallurgical Test Programs at its La Loutre Graphite Project with Results Indicating Purity of Greater Than 99.9% C(t),0.999,0.024,0.89,0.086
2022-04-28T23:45:09+00:00,3 Materials Stocks to Buy for Major Upside,0.996,0.015,0.902,0.083
2022-04-27T08:18:00+00:00,"Global and China Cobalt Market Report, 2021-2026 - Batteries are the Largest Consumer of Cobalt with a Share of Approx 57%, Followed by Nickel-Based Alloys with 14%",0.991,0.019,0.931,0.051
2022-04-22T18:12:59+00:00,A top lithium expert agrees with Elon Musk that there’s not enough of the crucial metal to meet booming demand,-0.87,0.068,0.889,0.044
2022-04-21T18:52:49+00:00,Elon Musk Wants More Lithium for EVs But Very Few Places Have It,-0.968,0.104,0.848,0.048
2022-04-21T13:00:00+00:00,"NEO Battery Materials Invited by Plug and Play, Early Silicon Valley VC Investor in Google and PayPal, to 2022 Japan/Korea Pitch &amp; Announces Upcoming Webinar",0.991,0.019,0.888,0.092
2022-04-21T03:42:04+00:00,China Battery Giant CATL Wins Lithium Project in Race for Materials,0.957,0.065,0.826,0.108
2022-04-19T16:15:09+00:00,Why Elon Musk wants Tesla to start mining lithium,0.361,0,0.93,0.07
2022-04-19T14:17:02+00:00,Expect a Strong Show From Lithia (LAD) This Earnings Season,0.997,0.016,0.876,0.108
2022-04-19T11:00:00+00:00,Kintavar optionnera la propriété BJB à Brunswick Exploration pour l'exploration du lithium,0.778,0.001,0.989,0.01
2022-04-19T11:00:00+00:00,Kintavar to Option Out BJB property for Lithium exploration to Brunswick Exploration,0.994,0.021,0.891,0.088
2022-04-14T12:01:35+00:00,Why A Lithium Battery Shortage May Wreck The Great EV Race,-0.153,0.25,0.597,0.153
2022-04-13T15:00:00+00:00,GM and Ford Join Tesla in Race to Secure EV Battery Material Supplies,0.026,0.117,0.761,0.122
2022-04-13T10:45:00+00:00,Comstock Acquires Industrial Battery Storage Property,0.965,0.033,0.897,0.07
2022-04-11T18:11:02+00:00,Ford inks Argentina lithium supply deal with Lake Resources,0.957,0.011,0.916,0.073
2022-04-11T16:45:00+00:00,Quantum Energy Inc (QEGY) Announces Share Buy-Back Program,0.993,0.021,0.823,0.156
2022-04-11T07:39:40+00:00,Asian-listed lithium plays slump as Musk threatens to enter lithium business,0.077,0.07,0.855,0.075
2022-04-07T18:30:33+00:00,New lithium technology can help the world go green -- if it works,0.997,0.023,0.876,0.102
