,headline,date,snippet,source,headline_sentiment,snippet_sentiment
0,METALS-London aluminium falls after Hydro restarts Brazil operations,29/12/2019,"* LITHIUM: SQM, the world's No. 2 lithium producer, said onFriday",reuters,0.0|1.0|0.0|0.0,0.216|0.784|0.0|-0.296
1,RPT-Chilean lithium miner SQM dealt blow by environmental court ruling,28/12/2019,"´s northern Atacama Desert about the use of water by SQM,the world´s Court in the nearbycity of Antofagasta calls into jeopardy SQM´s $400",reuters,0.0|1.0|0.0|0.0,0.124|0.876|0.0|-0.4767
2,Lithium miner SQM considering options after environmental court ruling,27/12/2019,"By Aislinn Laing(Reuters) - SQM, the world´s No. 2 lithium producer´s northern Atacama Desert. SQM said in a statement sent to Reuters",reuters,0.0|1.0|0.0|0.0,0.109|0.891|0.0|-0.296
3,Chilean lithium miner SQM dealt blow by environmental court ruling,26/12/2019,"northern Atacama Desert about the use of water by SQM, the world´s No. 2 in the nearby city of Antofagasta calls into jeopardy SQM´s $400 million",reuters,0.0|1.0|0.0|0.0,0.187|0.813|0.0|-0.6486
4,Chile eyes state-backed lithium push in far-flung salt flats,03/12/2019,Lithium giants Albemarle  and SQM  have,reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
5,Chile's SQM to decide on future of lithium holdings in Maricunga by year's end: mining minister,28/11/2019,"top lithium miner SQM to decide by year's end what it will do. ""We have asked SQM, which has holdings on the flat, to participate",reuters,0.0|1.0|0.0|0.0,0.0|0.93|0.07|0.2023
6,Chile's SQM to decide on future of lithium holdings in Maricunga by year's end - mining minister,28/11/2019,"asked toplithium miner SQM to decide by year's end what it will do asked SQM, which has holdings on the flat, toparticipate in a work group",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
7,"Lithium miner SQM dodges impacts from Chile protests, hit by lower prices",21/11/2019,By Dave Sherwood SANTIAGO (Reuters) - Chilean miner SQM  CEO Ricardo,reuters,0.291|0.709|0.0|-0.4767,0.0|1.0|0.0|0.0
8,Lithium miner SQM says no economic impact yet from Chile protests,21/11/2019,"SANTIAGO (Reuters) - Chilean miner SQM, the world's No. 2 lithium",reuters,0.313|0.687|0.0|-0.4767,0.216|0.784|0.0|-0.296
9,"Chile's SQM profits plunge in Q3 as lithium prices, demand growth fall short",21/11/2019,"SANTIAGO, Nov 21 (Reuters) - Chile's SQM, theworld's No. 2 producer",reuters,0.088|0.588|0.324|0.6124,0.216|0.784|0.0|-0.296
10,Lithium producers hit by first big downturn of electric vehicle era,13/11/2019,"SQM  sought to downplay the industry malaise, despite its, SQM's business development director for iodine and lithium, told",reuters,0.0|1.0|0.0|0.0,0.0|1.0|0.0|0.0
